locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
2848864,"Dabali, Handigaun",temperature,25.510285568237304,"{'utc': '2024-05-23T02:00:00+00:00', 'local': '2024-05-23T07:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,25.049206415812176,"{'utc': '2024-05-23T03:00:00+00:00', 'local': '2024-05-23T08:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,26.574801286061604,"{'utc': '2024-05-23T04:00:00+00:00', 'local': '2024-05-23T09:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,27.501984119415283,"{'utc': '2024-05-23T05:00:00+00:00', 'local': '2024-05-23T10:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,28.80719232559204,"{'utc': '2024-05-23T06:00:00+00:00', 'local': '2024-05-23T11:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,30.444494247436523,"{'utc': '2024-05-23T07:00:00+00:00', 'local': '2024-05-23T12:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,32.22095229408958,"{'utc': '2024-05-23T08:00:00+00:00', 'local': '2024-05-23T13:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,32.06428591410319,"{'utc': '2024-05-23T09:00:00+00:00', 'local': '2024-05-23T14:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,33.157142639160156,"{'utc': '2024-05-23T10:00:00+00:00', 'local': '2024-05-23T15:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,33.284391191270615,"{'utc': '2024-05-23T11:00:00+00:00', 'local': '2024-05-23T16:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,32.667163372039795,"{'utc': '2024-05-23T12:00:00+00:00', 'local': '2024-05-23T17:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,30.694047768910725,"{'utc': '2024-05-23T13:00:00+00:00', 'local': '2024-05-23T18:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,28.747817516326904,"{'utc': '2024-05-23T14:00:00+00:00', 'local': '2024-05-23T19:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,28.211428536309135,"{'utc': '2024-05-23T15:00:00+00:00', 'local': '2024-05-23T20:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,27.53947639465332,"{'utc': '2024-05-23T16:00:00+00:00', 'local': '2024-05-23T21:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,26.97337670759721,"{'utc': '2024-05-23T17:00:00+00:00', 'local': '2024-05-23T22:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,26.403571446736652,"{'utc': '2024-05-23T18:00:00+00:00', 'local': '2024-05-23T23:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
2848864,"Dabali, Handigaun",temperature,25.65639845530192,"{'utc': '2024-05-23T19:00:00+00:00', 'local': '2024-05-24T00:45:00+05:45'}",c,"{'latitude': 27.68189114, 'longitude': 85.28707804}",NP,,False,,Private Organization,low-cost sensor
