,Latitude,Longitude,COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa,COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
0,72.6214599609375,138.7790985107422,2.311225118631657e+18,134.7128143310547,132.07167053222656,130.0621337890625,128.24395751953125,126.237060546875,123.96660614013672,117.59303283691406,93.16840362548828,40.08720397949219,18.091604232788082,251.82402038574216
1,65.00276184082031,134.3637542724609,2.0046085716013215e+18,133.46534729003906,,130.94488525390625,129.82533264160156,130.79714965820312,132.97157287597656,129.79713439941406,104.30836486816406,42.43972396850586,18.14813995361328,241.5224151611328
2,61.38178253173828,131.9517822265625,2.1840230307311124e+18,140.29885864257812,136.50018310546875,132.68450927734375,128.94273376464844,125.96625518798828,122.03926849365234,114.98805236816406,92.2938003540039,39.219844818115234,17.949819564819336,252.1355133056641
3,57.77664566040039,131.23036193847656,2.2801119632225728e+18,141.06446838378906,142.1669921875,154.8073577880859,165.78941345214844,164.0411376953125,151.5388641357422,129.078369140625,91.23989105224608,36.2070198059082,17.261741638183594,254.9532623291016
4,57.915714263916016,132.85658264160156,2.4102009563407974e+18,146.7013397216797,149.5391387939453,160.9648284912109,169.56243896484375,168.64593505859375,157.10293579101562,135.44281005859375,97.64848327636719,38.56372833251953,17.752559661865234,256.1356506347656
5,57.78387451171875,133.56051635742188,2.200997428679672e+18,135.73744201660156,136.98475646972656,146.8261566162109,155.4554901123047,153.93234252929688,141.24928283691406,119.2824478149414,86.13008117675781,35.538875579833984,17.2734432220459,253.20162963867188
6,57.261764526367195,134.0517425537109,2.545981846278111e+18,160.63316345214844,165.31939697265625,178.50677490234375,184.57492065429688,178.93771362304688,160.51611328125,132.99554443359375,97.5226821899414,40.22636413574219,18.16950798034668,256.3367614746094
7,56.14744567871094,137.91468811035156,3.46812355679617e+18,181.46836853027344,209.71952819824216,223.99609375,238.01666259765625,242.9101409912109,217.52073669433597,171.06918334960935,112.5011520385742,41.631542205810554,18.453031539916992,266.013916015625
8,57.157180786132805,133.6731414794922,2.08867901736747e+18,136.8725433349609,137.6159515380859,144.79925537109375,150.3432464599609,146.3896484375,133.5277099609375,111.70994567871092,79.65065002441406,33.51616668701172,16.869380950927734,253.52714538574216
9,57.237754821777344,132.94276428222656,2.1383840897685256e+18,148.34979248046875,149.0994873046875,164.86053466796875,171.002685546875,158.1533966064453,133.1728057861328,103.21060943603516,68.55916595458984,29.237939834594727,15.976364135742188,253.2430725097656
10,57.31414031982422,132.20721435546875,2.174461265299112e+18,163.44677734375,,182.43701171875,183.5773162841797,161.4261016845703,129.32215881347656,96.28429412841795,61.80744552612305,26.673269271850582,15.290116310119627,254.28523254394528
11,57.38992691040039,131.46119689941406,2.088034703553593e+18,144.3925323486328,144.5953369140625,154.83950805664062,160.80056762695312,152.41921997070312,133.1916351318359,106.80269622802734,73.36360931396483,31.47377014160156,16.484724044799805,254.3202209472656
12,57.06153106689453,130.5255584716797,2.3868750920354365e+18,155.4972991943359,,169.3329315185547,179.27682495117188,175.6014404296875,157.7922210693359,130.75477600097656,96.53820037841795,40.19783782958984,18.114566802978516,255.43313598632807
13,57.46323013305664,130.69598388671875,2.1403280263264335e+18,141.0537567138672,142.59042358398435,157.7154083251953,167.90716552734375,157.74195861816406,134.43727111816406,105.5013961791992,70.11912536621094,29.782094955444332,16.068941116333008,255.1791076660156
14,57.33093261718751,129.82159423828125,2.845878315678433e+18,177.21351623535156,178.87310791015625,205.6738739013672,221.4626617431641,215.82249450683597,188.9612579345703,150.40863037109375,105.61309814453124,41.91522216796875,18.323619842529297,257.62359619140625
15,57.535762786865234,129.90423583984375,2.292073550221148e+18,174.62966918945312,179.96157836914062,199.97149658203125,193.8736267089844,163.63462829589844,126.57261657714844,88.78276824951172,53.84984588623047,23.97715377807617,14.706426620483398,255.6256256103516
