Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-136T12:58:02.3732Z [May,27.799,84.140,195954,291,7,18,122505
2023-136T12:58:06.3193Z [May,27.677,84.191,4870,0,1,1,122505
2023-136T12:58:06.4319Z [May,27.751,84.076,44546,162,4,9,122505
2023-136T12:58:07.0081Z [May,27.797,84.059,23737,0,1,4,122505
2023-136T12:58:09.3878Z [May,27.770,84.095,69416,248,5,10,122505
2023-136T12:58:12.2291Z [May,27.727,84.212,431314,494,11,32,122505
2023-136T12:58:12.5678Z [May,27.747,84.041,12832,0,1,2,122505
2023-136T12:58:12.6928Z [May,27.747,84.107,14020,0,1,1,122505
2023-136T12:58:15.2586Z [May,27.690,84.298,33498,127,4,5,122505
2023-136T12:58:15.3907Z [May,27.615,84.193,17304,0,1,3,122505
2023-136T12:58:16.0661Z [May,27.763,84.040,122964,3,3,15,122505
2023-136T12:58:16.6997Z [May,27.657,84.210,503672,361,22,37,122505
2023-136T12:58:17.5630Z [May,27.649,84.282,5025,0,1,1,122505
2023-136T12:58:19.2146Z [May,27.775,84.085,75311,248,8,13,122505
2023-136T12:58:19.7617Z [May,27.680,84.247,145609,39,4,12,122505
2023-136T12:58:20.0818Z [May,27.762,84.045,16504,0,1,3,122505
2023-136T12:58:21.4375Z [May,27.784,84.129,56958,39,2,6,122505
2023-136T12:58:25.6615Z [May,27.691,84.265,194602,476,12,24,122505
2023-136T12:58:25.9374Z [May,27.750,84.109,36649,111,2,4,122505
2023-136T12:58:29.2483Z [May,27.754,84.044,209115,85,3,16,122505
2023-136T12:58:30.7105Z [May,27.765,84.087,104849,317,11,17,122505
2023-136T12:58:32.5276Z [May,27.802,84.143,102842,319,3,8,122505
2023-136T12:58:33.0075Z [May,27.722,84.276,451740,320,15,33,122505
2023-136T12:58:36.7314Z [May,27.758,84.020,29332,57,3,5,122505
2023-136T12:58:37.0701Z [May,27.617,84.191,30841,85,3,5,122505
2023-136T12:58:38.9994Z [May,27.761,84.112,25412,1,2,3,122505
2023-136T12:58:40.5704Z [May,27.682,84.222,111877,362,10,12,122505
2023-136T12:58:42.2453Z [May,27.797,84.064,24369,39,3,4,122505
2023-136T12:58:44.3492Z [May,27.657,84.255,36604,184,5,7,122505
2023-136T12:58:44.7215Z [May,27.647,84.182,5025,0,1,1,122505
2023-136T12:58:44.9165Z [May,27.752,84.053,10051,0,1,2,122505
2023-136T12:58:45.5939Z [May,27.733,84.121,51488,164,5,8,122505
2023-136T12:58:46.9707Z [May,27.795,84.152,79706,164,5,11,122505
2023-136T12:58:47.9591Z [May,27.660,84.312,29642,32,3,4,122505
2023-136T12:58:52.6838Z [May,27.738,84.300,1047222,490,25,68,122505
2023-136T12:58:52.7451Z [May,27.723,84.088,70385,168,5,9,122505
2023-136T12:58:58.1776Z [May,27.635,84.238,10759,0,1,2,122505
2023-136T12:58:58.3731Z [May,27.750,84.034,9342,0,1,2,122505
2023-136T12:58:59.9450Z [May,27.655,84.237,136573,205,6,13,122505
2023-136T12:59:01.1228Z [May,27.731,84.081,135238,175,8,19,122505
2023-136T12:59:01.9743Z [May,27.635,84.204,76217,134,5,9,122505
2023-136T12:59:04.8084Z [May,27.749,84.050,25305,2,2,3,122505
2023-136T12:59:05.5677Z [May,27.737,84.112,24162,120,2,3,122505
2023-136T21:10:05.8781Z [May,27.179,85.954,144391,374,11,20,200913
2023-137T12:08:50.7501Z [May,27.301,84.201,71940,148,5,10,113728
2023-137T12:08:51.7078Z [May,27.483,84.467,146945,358,13,18,113728
2023-137T12:08:52.0731Z [May,27.313,84.346,51704,39,2,7,113728
2023-137T12:08:53.4731Z [May,27.488,84.557,178926,257,10,19,113728
2023-137T12:08:55.0126Z [May,27.486,84.542,244904,381,4,17,113728
2023-137T12:08:55.4282Z [May,27.257,84.340,82321,177,4,12,113728
2023-137T12:08:55.5609Z [May,27.211,85.113,54073,40,2,8,113728
2023-137T12:08:56.2106Z [May,27.577,84.566,144574,263,6,18,113728
2023-137T12:08:56.2769Z [May,27.318,84.913,473589,266,13,42,113728
2023-137T12:08:56.3609Z [May,27.705,84.518,112251,481,9,17,113728
2023-137T12:08:57.6507Z [May,27.453,84.484,570406,282,16,44,113728
2023-137T12:08:57.8296Z [May,27.150,85.206,61274,342,4,10,113728
2023-137T12:08:58.1557Z [May,27.339,84.364,284342,247,12,31,113728
2023-137T12:08:58.5477Z [May,27.445,84.596,52621,111,5,10,113728
2023-137T12:08:58.5909Z [May,27.138,85.089,94866,202,5,10,113728
2023-137T12:08:58.7522Z [May,27.213,84.314,43657,14,2,7,113728
2023-137T12:08:58.9276Z [May,27.050,85.145,43634,60,4,6,113728
2023-137T12:08:59.2426Z [May,27.252,85.403,100659,200,9,13,113728
2023-137T12:08:59.7185Z [May,27.432,84.562,73018,258,7,12,113728
2023-137T12:09:00.3274Z [May,27.518,84.424,256607,370,8,21,113728
2023-137T12:09:00.4656Z [May,27.372,84.315,26365,1,2,3,113728
2023-137T12:09:00.8450Z [May,27.129,85.138,320739,486,10,31,113728
2023-137T12:09:01.8354Z [May,27.756,84.639,57749,426,6,9,113728
2023-137T12:09:01.9515Z [May,27.527,84.485,216700,261,4,15,113728
2023-137T12:09:02.0681Z [May,27.696,84.407,547433,705,21,63,113728
2023-137T12:09:02.2344Z [May,27.243,84.298,79680,98,4,7,113728
2023-137T12:09:02.3545Z [May,27.228,85.339,142278,308,7,14,113728
2023-137T12:09:02.7143Z [May,27.466,84.538,101281,374,6,12,113728
2023-137T12:09:02.7912Z [May,27.270,85.587,347411,320,10,23,113728
2023-137T12:09:02.9148Z [May,27.612,84.344,58313,34,3,9,113728
2023-137T12:09:03.3082Z [May,27.563,84.588,107093,300,6,15,113728
2023-137T12:09:03.7545Z [May,27.280,85.417,855379,669,32,93,113728
2023-137T12:09:04.4097Z [May,27.271,84.847,101670,175,3,14,113728
2023-137T12:09:04.4957Z [May,27.224,84.347,179929,67,4,24,113728
2023-137T12:09:05.4514Z [May,27.363,84.550,104231,217,6,9,113728
2023-137T12:09:05.5374Z [May,27.161,85.319,91791,344,8,13,113728
2023-137T12:09:05.8188Z [May,27.126,85.096,235999,123,7,22,113728
2023-137T12:09:06.1283Z [May,27.260,85.636,40824,103,5,8,113728
2023-137T12:09:06.2950Z [May,27.482,84.592,150387,399,11,24,113728
2023-137T12:09:06.6548Z [May,27.330,84.374,347529,435,17,35,113728
2023-137T12:09:07.2206Z [May,27.706,84.646,49379,447,5,7,113728
2023-137T12:09:07.4679Z [May,27.165,85.070,262380,286,11,25,113728
2023-137T12:09:07.6055Z [May,27.055,85.189,97022,118,3,12,113728
2023-137T12:09:08.4648Z [May,27.458,84.520,488043,208,8,24,113728
2023-137T12:09:09.1527Z [May,27.293,85.592,93465,109,6,12,113728
2023-137T12:09:09.2829Z [May,27.531,84.471,1106408,840,33,93,113728
2023-137T12:09:09.3351Z [May,27.329,85.321,5889756,1552,92,363,113728
2023-137T12:09:09.6160Z [May,27.385,84.384,94567,360,5,11,113728
2023-137T12:09:09.6341Z [May,27.414,84.547,63161,164,3,7,113728
2023-137T12:09:10.0170Z [May,27.244,84.316,71193,103,3,10,113728
2023-137T12:09:10.5902Z [May,27.144,85.140,99317,313,6,10,113728
2023-137T12:09:11.0610Z [May,27.382,84.529,144687,89,7,11,113728
2023-137T12:09:11.1987Z [May,27.303,84.857,163500,200,8,30,113728
2023-137T12:09:11.4585Z [May,27.239,85.608,44428,30,3,6,113728
2023-137T12:09:11.5088Z [May,27.383,84.307,142495,307,7,13,113728
2023-137T12:09:11.8615Z [May,27.033,85.158,58895,37,3,9,113728
2023-137T12:09:11.9078Z [May,27.869,84.835,35400,30,3,4,113728
2023-137T12:09:12.1691Z [May,27.543,84.576,207662,384,7,20,113728
2023-137T12:09:12.2605Z [May,27.700,84.676,116724,204,9,18,113728
2023-137T12:09:12.4183Z [May,27.241,85.417,81567,277,6,11,113728
