,Time,CAPE
118,2024-05-05T22:00:00+05:45,0.0
119,2024-05-05T23:00:00+05:45,1.560214
120,2024-05-06T00:00:00+05:45,0.0
121,2024-05-06T01:00:00+05:45,0.0
122,2024-05-06T02:00:00+05:45,3.4804783
123,2024-05-06T03:00:00+05:45,36.485016
124,2024-05-06T04:00:00+05:45,107.3349
125,2024-05-06T05:00:00+05:45,248.08902
126,2024-05-06T06:00:00+05:45,93.192
127,2024-05-06T07:00:00+05:45,236.39415
128,2024-05-06T08:00:00+05:45,103.04227
129,2024-05-06T09:00:00+05:45,48.42665
130,2024-05-06T10:00:00+05:45,55.447617
131,2024-05-06T11:00:00+05:45,62.34874
132,2024-05-06T12:00:00+05:45,62.509262
133,2024-05-06T13:00:00+05:45,69.54956
134,2024-05-06T14:00:00+05:45,97.00429
135,2024-05-06T15:00:00+05:45,116.329575
136,2024-05-06T16:00:00+05:45,160.40456
137,2024-05-06T17:00:00+05:45,211.31374
138,2024-05-06T18:00:00+05:45,269.4602
139,2024-05-06T19:00:00+05:45,292.42603
140,2024-05-06T20:00:00+05:45,271.01636
141,2024-05-06T21:00:00+05:45,276.68066
142,2024-05-06T22:00:00+05:45,341.99658
143,2024-05-06T23:00:00+05:45,324.64014
144,2024-05-07T00:00:00+05:45,268.75415
145,2024-05-07T01:00:00+05:45,385.0332
146,2024-05-07T02:00:00+05:45,327.1682
147,2024-05-07T03:00:00+05:45,193.93152
148,2024-05-07T04:00:00+05:45,256.41675
149,2024-05-07T05:00:00+05:45,469.3352
150,2024-05-07T06:00:00+05:45,497.26294
151,2024-05-07T07:00:00+05:45,748.8701
152,2024-05-07T08:00:00+05:45,733.84155
153,2024-05-07T09:00:00+05:45,908.98804
154,2024-05-07T10:00:00+05:45,665.302
155,2024-05-07T11:00:00+05:45,465.72266
156,2024-05-07T12:00:00+05:45,301.28076
157,2024-05-07T13:00:00+05:45,289.75073
158,2024-05-07T14:00:00+05:45,256.3794
159,2024-05-07T15:00:00+05:45,208.8084
160,2024-05-07T16:00:00+05:45,222.6483
161,2024-05-07T17:00:00+05:45,280.31543
162,2024-05-07T18:00:00+05:45,160.90497
163,2024-05-07T19:00:00+05:45,262.63208
164,2024-05-07T20:00:00+05:45,205.20145
165,2024-05-07T21:00:00+05:45,190.24553
166,2024-05-07T22:00:00+05:45,82.82892
167,2024-05-07T23:00:00+05:45,70.62077
168,2024-05-08T00:00:00+05:45,64.62358
169,2024-05-08T01:00:00+05:45,110.73114
170,2024-05-08T02:00:00+05:45,312.333
171,2024-05-08T03:00:00+05:45,388.2478
172,2024-05-08T04:00:00+05:45,544.624
173,2024-05-08T05:00:00+05:45,393.05713
174,2024-05-08T06:00:00+05:45,278.8081
175,2024-05-08T07:00:00+05:45,411.02393
176,2024-05-08T08:00:00+05:45,326.6267
177,2024-05-08T09:00:00+05:45,520.334
178,2024-05-08T10:00:00+05:45,350.82812
179,2024-05-08T11:00:00+05:45,316.72217
180,2024-05-08T12:00:00+05:45,308.06592
181,2024-05-08T13:00:00+05:45,254.65736
182,2024-05-08T14:00:00+05:45,213.33641
183,2024-05-08T15:00:00+05:45,151.82115
184,2024-05-08T16:00:00+05:45,120.56673
185,2024-05-08T17:00:00+05:45,112.60455
186,2024-05-08T18:00:00+05:45,109.96066
187,2024-05-08T19:00:00+05:45,98.4655
188,2024-05-08T20:00:00+05:45,78.56409
189,2024-05-08T21:00:00+05:45,40.698776
190,2024-05-08T22:00:00+05:45,200.5471
191,2024-05-08T23:00:00+05:45,93.89995
192,2024-05-09T00:00:00+05:45,60.2576
193,2024-05-09T01:00:00+05:45,115.07318
194,2024-05-09T02:00:00+05:45,165.45436
195,2024-05-09T03:00:00+05:45,301.55884
196,2024-05-09T04:00:00+05:45,274.417
197,2024-05-09T05:00:00+05:45,175.22229
198,2024-05-09T06:00:00+05:45,187.16376
199,2024-05-09T07:00:00+05:45,212.82402
200,2024-05-09T08:00:00+05:45,334.81323
201,2024-05-09T09:00:00+05:45,320.97144
202,2024-05-09T10:00:00+05:45,33.10025
203,2024-05-09T11:00:00+05:45,1.6795874
204,2024-05-09T12:00:00+05:45,18.422531
205,2024-05-09T13:00:00+05:45,46.126434
206,2024-05-09T14:00:00+05:45,82.81224
207,2024-05-09T15:00:00+05:45,116.67894
208,2024-05-09T16:00:00+05:45,126.16321
209,2024-05-09T17:00:00+05:45,69.13022
210,2024-05-09T18:00:00+05:45,52.31398
211,2024-05-09T19:00:00+05:45,37.71666
212,2024-05-09T20:00:00+05:45,48.61026
213,2024-05-09T21:00:00+05:45,22.068848
214,2024-05-09T22:00:00+05:45,5.7515316
215,2024-05-09T23:00:00+05:45,1.8703814
216,2024-05-10T00:00:00+05:45,0.72984594
217,2024-05-10T01:00:00+05:45,3.5324469
218,2024-05-10T02:00:00+05:45,75.152054
219,2024-05-10T03:00:00+05:45,29.03212
220,2024-05-10T04:00:00+05:45,24.193558
221,2024-05-10T05:00:00+05:45,25.34671
222,2024-05-10T06:00:00+05:45,59.48314
223,2024-05-10T07:00:00+05:45,102.278946
224,2024-05-10T08:00:00+05:45,143.15659
225,2024-05-10T09:00:00+05:45,170.43071
226,2024-05-10T10:00:00+05:45,66.899
227,2024-05-10T11:00:00+05:45,93.958435
228,2024-05-10T12:00:00+05:45,101.77812
229,2024-05-10T13:00:00+05:45,104.80003
230,2024-05-10T14:00:00+05:45,95.28804
231,2024-05-10T15:00:00+05:45,96.316574
232,2024-05-10T16:00:00+05:45,102.03642
233,2024-05-10T17:00:00+05:45,110.98761
234,2024-05-10T18:00:00+05:45,116.99963
235,2024-05-10T19:00:00+05:45,127.55058
236,2024-05-10T20:00:00+05:45,141.25145
237,2024-05-10T21:00:00+05:45,134.05853
238,2024-05-10T22:00:00+05:45,203.31079
239,2024-05-10T23:00:00+05:45,233.17708
240,2024-05-11T00:00:00+05:45,156.70038
241,2024-05-11T01:00:00+05:45,105.24841
242,2024-05-11T02:00:00+05:45,98.35927
243,2024-05-11T03:00:00+05:45,79.28874
244,2024-05-11T04:00:00+05:45,94.34335
